GeneId	C28a	C28b	C37a	C37b
phi-Ab11510_11551.fna_00009	38	75	48	75
phi-Ab11510_11551.fna_00008	1039	881	538	640
phi-Ab11510_11551.fna_00007	949	877	891	1025
phi-Ab11510_11551.fna_00006	353	274	424	476
phi-Ab11510_11551.fna_00005	280	266	376	421
phi-Ab11510_11551.fna_00004	543	553	673	821
phi-Ab11510_11551.fna_00069	4567	3700	4283	5002
phi-Ab11510_11551.fna_00003	310	314	400	465
phi-Ab11510_11551.fna_00068	4161	3602	3136	3520
phi-Ab11510_11551.fna_00002	275	299	399	499
phi-Ab11510_11551.fna_00067	29060	22936	24212	27631
phi-Ab11510_11551.fna_00001	264	233	305	383
phi-Ab11510_11551.fna_00066	258	202	83	117
phi-Ab11510_11551.fna_00065	140	131	62	50
phi-Ab11510_11551.fna_00064	165	174	100	76
phi-Ab11510_11551.fna_00063	113	127	88	93
phi-Ab11510_11551.fna_00062	107	96	44	82
phi-Ab11510_11551.fna_00061	561	515	311	410
phi-Ab11510_11551.fna_00060	1140	1000	716	786
phi-Ab11510_11551.fna_00059	432	486	350	392
phi-Ab11510_11551.fna_00058	512	479	378	464
phi-Ab11510_11551.fna_00057	330	320	258	342
phi-Ab11510_11551.fna_00056	497	492	427	455
phi-Ab11510_11551.fna_00055	490	475	401	412
phi-Ab11510_11551.fna_00054	1345	1249	1773	2131
phi-Ab11510_11551.fna_00053	216	175	173	182
phi-Ab11510_11551.fna_00052	78	83	42	48
phi-Ab11510_11551.fna_00051	49	57	25	42
phi-Ab11510_11551.fna_00050	1291	1284	825	914
phi-Ab11510_11551.fna_00049	54	72	61	68
phi-Ab11510_11551.fna_00048	133	133	148	215
phi-Ab11510_11551.fna_00047	96	103	100	168
phi-Ab11510_11551.fna_00046	928	678	924	1242
phi-Ab11510_11551.fna_00045	619	401	562	812
phi-Ab11510_11551.fna_00044	2402	2091	1799	2138
phi-Ab11510_11551.fna_00043	2445	1919	2240	2451
phi-Ab11510_11551.fna_00042	2630	2089	2144	2256
phi-Ab11510_11551.fna_00041	2489	1819	2002	2177
phi-Ab11510_11551.fna_00040	251	245	169	252
phi-Ab11510_11551.fna_00039	215	243	155	169
phi-Ab11510_11551.fna_00038	252	189	163	132
phi-Ab11510_11551.fna_00037	428	348	309	336
phi-Ab11510_11551.fna_00036	36906	29209	13282	14720
phi-Ab11510_11551.fna_00035	188	205	73	104
phi-Ab11510_11551.fna_00034	337	343	111	128
phi-Ab11510_11551.fna_00033	717	680	342	358
phi-Ab11510_11551.fna_00032	129	143	49	76
phi-Ab11510_11551.fna_00031	147	108	175	212
phi-Ab11510_11551.fna_00030	407	370	370	432
phi-Ab11510_11551.fna_00029	442	463	484	491
phi-Ab11510_11551.fna_00028	353	400	459	561
phi-Ab11510_11551.fna_00027	1103	842	837	957
phi-Ab11510_11551.fna_00026	93	116	62	67
phi-Ab11510_11551.fna_00025	135	121	59	70
phi-Ab11510_11551.fna_00024	352	395	129	153
phi-Ab11510_11551.fna_00023	1353	1504	755	837
phi-Ab11510_11551.fna_00022	526	617	198	271
phi-Ab11510_11551.fna_00021	91	98	36	39
phi-Ab11510_11551.fna_00020	486	371	296	323
phi-Ab11510_11551.fna_00019	2920	2507	1674	1759
phi-Ab11510_11551.fna_00018	536	489	417	471
phi-Ab11510_11551.fna_00017	671	639	604	692
phi-Ab11510_11551.fna_00016	339	279	212	318
phi-Ab11510_11551.fna_00015	118	94	100	100
phi-Ab11510_11551.fna_00014	344	266	263	234
phi-Ab11510_11551.fna_00013	118	81	72	78
phi-Ab11510_11551.fna_00012	145	129	130	130
phi-Ab11510_11551.fna_00076	122	104	132	145
phi-Ab11510_11551.fna_00011	116	98	95	125
phi-Ab11510_11551.fna_00075	83	52	92	91
phi-Ab11510_11551.fna_00010	73	89	61	102
phi-Ab11510_11551.fna_00074	86	90	94	103
phi-Ab11510_11551.fna_00073	391	363	309	413
phi-Ab11510_11551.fna_00072	320	346	271	314
phi-Ab11510_11551.fna_00071	265	161	97	106
phi-Ab11510_11551.fna_00070	104	56	44	48
